iter	MultiClass
0	1.06146707
1	1.029688095
2	1.000124857
3	0.9747644702
4	0.9498549539
5	0.9271714148
6	0.9081670863
7	0.8898824635
8	0.8734116524
9	0.8585539979
10	0.8438897706
11	0.830011217
12	0.8194413978
13	0.8074884197
14	0.7974165971
15	0.7876058667
16	0.7785862322
17	0.769023322
18	0.7615431992
19	0.7540475013
20	0.7464815523
21	0.7396261746
22	0.7334617042
23	0.7281357639
24	0.7230989035
25	0.7176123287
26	0.7126908565
27	0.7083364402
28	0.704228864
29	0.6994406293
30	0.6959224973
31	0.6915461298
32	0.6871363258
33	0.682796438
34	0.6799571207
35	0.6764536692
36	0.6735066916
37	0.6700870197
38	0.6665677863
39	0.6638901557
40	0.6612437681
41	0.6590349837
42	0.6565406918
43	0.654386051
44	0.6524945073
45	0.6506543925
46	0.6482035643
47	0.6466139063
48	0.645090839
49	0.6434527686
50	0.6411992944
51	0.6397308824
52	0.6384123955
53	0.6371385823
54	0.6354098391
55	0.6342074471
56	0.6331315152
57	0.6318230662
58	0.6305856438
59	0.6291399134
60	0.6283192345
61	0.6273739303
62	0.6260273651
63	0.6254252403
64	0.6242787479
65	0.6236906837
66	0.6228355902
67	0.6215169205
68	0.6202947827
69	0.6194935473
70	0.6186397426
71	0.6172673819
72	0.6163991698
73	0.6154304519
74	0.6146845249
75	0.6137275611
76	0.6130298175
77	0.6123964974
78	0.610905149
79	0.6099437417
80	0.6092591087
81	0.6087335845
82	0.6080885664
83	0.6068647736
84	0.606195001
85	0.605332359
86	0.6048100421
87	0.6041592338
88	0.6036143536
89	0.6030776838
90	0.6019902003
91	0.6016706004
92	0.6012686552
93	0.6006326674
94	0.5996848854
95	0.5989683938
96	0.5985828475
97	0.5979618852
98	0.5972148161
99	0.596612913
100	0.5959619869
101	0.5955426318
102	0.5948628582
103	0.5942724476
104	0.5938858839
105	0.5931786951
106	0.5927507129
107	0.5919790229
108	0.5911517839
109	0.590849676
110	0.5903679356
111	0.5899451996
112	0.5893667169
113	0.5887866375
114	0.5881801882
115	0.5875948413
116	0.5868721133
117	0.5864809091
118	0.5859766938
119	0.5856677361
120	0.5851267901
121	0.5845649178
122	0.5842022522
123	0.583855484
124	0.5835251793
125	0.583245358
126	0.582703782
127	0.5824264475
128	0.5821174568
129	0.5816974276
130	0.5812093513
131	0.5809649174
132	0.5807048186
133	0.5803044894
134	0.5801652969
135	0.5794902665
136	0.5790371433
137	0.5782789004
138	0.5778437809
139	0.5774239919
140	0.5770720007
141	0.5767775005
142	0.5761345204
143	0.5756817649
144	0.5750631607
145	0.5745639567
146	0.5741201364
147	0.5737078747
148	0.5735598618
149	0.573235489
150	0.5729391128
151	0.5726449847
152	0.5723522695
153	0.5720837638
154	0.5717305223
155	0.571438248
156	0.5709024283
157	0.5706596675
158	0.570181226
159	0.5697384125
160	0.569415748
161	0.5692585517
162	0.5686984383
163	0.5684108371
164	0.5678845876
165	0.5676466341
166	0.56727854
167	0.5666898005
168	0.5662609817
169	0.5657691811
170	0.5654214686
171	0.5648886167
172	0.5644948698
173	0.5638937785
174	0.5635865021
175	0.563144268
176	0.5626109485
177	0.5623519206
178	0.5618795671
179	0.561624286
180	0.5610784749
181	0.5608231352
182	0.5604592815
183	0.5600979774
184	0.5598400312
185	0.5594292151
186	0.5589884229
187	0.5587754018
188	0.5585744123
189	0.5582292287
190	0.5577629537
191	0.5574520532
192	0.5571085846
193	0.556792262
194	0.5564079029
195	0.5559688235
196	0.5556466486
197	0.5553947376
198	0.5551837961
199	0.5547741897
200	0.5545343417
201	0.5541182899
202	0.553848324
203	0.5533652408
204	0.5531050703
205	0.5524982897
206	0.552235336
207	0.5518725599
208	0.5512147498
209	0.5508403413
210	0.5504566504
211	0.5501272714
212	0.5497402779
213	0.5492555554
214	0.5488936459
215	0.5484684822
216	0.5480091446
217	0.5475292707
218	0.5473073685
219	0.5468952657
220	0.5466354926
221	0.5463922238
222	0.5460954037
223	0.5455070931
224	0.5449935237
225	0.5446161888
226	0.5441721744
227	0.5439675817
228	0.5436391477
229	0.5433894185
230	0.5431483398
231	0.5428778416
232	0.5424179485
233	0.5421177421
234	0.541605132
235	0.5414448775
236	0.5410537821
237	0.5406112885
238	0.5403268894
239	0.5400291629
240	0.5395936808
241	0.539147934
242	0.5388282559
243	0.5385099079
244	0.5381966775
245	0.5379859361
246	0.5376830766
247	0.5374026682
248	0.5371091868
249	0.536711373
250	0.5362752919
251	0.5358776162
252	0.5355933929
253	0.535300788
254	0.5349927863
255	0.5344582707
256	0.5342229306
257	0.5339688005
258	0.5336956776
259	0.5333448231
260	0.5330877744
261	0.5328360897
262	0.5324615329
263	0.5322808069
264	0.5319595109
265	0.5313898659
266	0.5311769143
267	0.5309831339
268	0.5307070632
269	0.5304080013
270	0.5301828124
271	0.5299669054
272	0.5294928274
273	0.5290580011
274	0.5288675885
275	0.5285127904
276	0.5281337912
277	0.5276718449
278	0.5274088778
279	0.5270150003
280	0.5266310475
281	0.5261556011
282	0.525904488
283	0.5256741657
284	0.5253857911
285	0.5251471972
286	0.524772518
287	0.5245621006
288	0.5241437195
289	0.5237959391
290	0.5235601265
291	0.5233754083
292	0.5230624688
293	0.5227274143
294	0.5223998066
295	0.5221306447
296	0.5219121672
297	0.5216691105
298	0.5215300691
299	0.5211705581
